Route_id,Dari,Sampai,Jalur,Lajur,"Tanggal
 Pelaksanaan",Keterangan
motorway,0+000,0+200,A,,2026,Overlay
motorway,,,B,I/CKOTASATELITARAHPERAK,2026,Overlay
motorway,,,B,ONRAMPPORONG,2026,Overlay
motorway,,,B,ONRAMPSATELITARAHPERAK(BAHUJALAN),2026,Scrapping Filling
motorway,,,,,2024-08-21,Rising AC BC
motorway,,,Akses On Ramp Waru dari Bundaran Waru Arah Ramp 1,SISIKANAN,2023,Scraping Filling AC WC
motorway,,,INTERCHANGE WARU1 (TRANSISI),,2024-08-24,Scraping Filling AC WC
motorway,,,KANAN,,2024-08-20,Rising AC BC Badan Jalan
motorway,,,KANAN,,2024-08-20,Rising AC BC kanan
motorway,,,KIRI,LOOPDUPAK2,2024-08-20,Rising AC BC kiri
motorway,,,KIRI,,2024-08-20,Rising AC BC Badan Jalan
motorway,,,LOOP 2 DUPAK,,2024-08-21,Overlay AC WC
motorway,,,MAIN ROAD,,2024-08-19,Rising AC BC Badan Jalan
motorway,,,MAIN ROAD DUPAK 2,,2024-08-22,
motorway,,,MAIN ROAD DUPAK 2,,2024-08-22,Overlay AC WC
motorway,,,Off Ramp Dupak Arah Ps Turi,B/KANAN,2023,Scraping Filling AC WC
motorway,,,Off Ramp Dupak Arah Ps Turi,B/KIRI,2023,Scraping Filling AC WC
motorway,,,OFF RAMP SATELIT B,KIRI,2024-05-29,Scraping Filling AC WC
motorway,,,ON RAMP B.URIP,KANAN,2024-06-09,Scraping Filling AC WC
motorway,,,ON RAMP DUPAK 2,,2024-08-21,Overlay AC WC Kuncian Awal
motorway,,,On Ramp Dupak 2 Sblm Gate,B/KIRI,2023,Scraping Filling AC WC
motorway,,,Ramp Off Gunung Sari 1/A,1,2023,Overlay AC WC
motorway,,,Ramp Off Waru,ARAHBUNDARANWARU,2023,Scraping Filling AC WC
motorway,0+200,0+400,A,,2026,Overlay
motorway,,,B,ONRAMPPORONG,2026,Overlay
motorway,,,B,ONRAMPSATELITARAHPERAK(BAHUJALAN),2026,Scrapping Filling
motorway,,,,,2023,Scraping Filling AC WC
motorway,,,Akses On Ramp Waru dari Bundaran Waru Arah Ramp 1,SISIKANAN,2023,Scraping Filling AC WC
motorway,,,KANAN,,2024-08-20,Rising AC BC Badan Jalan
motorway,,,KIRI,,2024-08-20,Rising AC BC Badan Jalan
motorway,,,LOOP 2 DUPAK,,2024-08-21,Overlay AC WC
motorway,,,MAIN ROAD,,2024-08-19,Rising AC BC Badan Jalan
motorway,,,Off Ramp Gunung Sari 1,A,2023,Scraping Filling AC WC
motorway,,,ON RAMP B.URIP,KANAN,2024-06-09,Scraping Filling AC WC
motorway,,,ON RAMP DUPAK 2,,2024-08-21,Overlay Ac WC Kuncian Akhir
motorway,,,Ramp Off Gunung Sari 1/A,1,2023,Overlay AC WC
motorway,0+400,0+600,A,1,2025-06-02,Scraping Filling AC WC
motorway,,,B,1,2025-07-01,Scraping Filling AC WC
motorway,,,,,2023,Scraping Filling AC WC
motorway,,,A,Off Ramp Gunung Sari 1,2023,Scraping Filling AC WC
motorway,,,ON RAMP B.URIP,KANAN,2024-06-09,Scraping Filling AC WC
motorway,,,On Ramp Waru,ARAHMEDAENG,2023,Scraping Filling AC WC
motorway,,,Ramp Off Gunung Sari 1/A,1,2023,Overlay AC WC
motorway,0+600,0+800,A,1,2025-06-02,Scraping Filling AC WC
motorway,,,B,1,2025-07-01,Scraping Filling AC WC
motorway,,,On Ramp Waru,ARAHMEDAENG,2023,Scraping Filling AC WC
motorway,0+800,1+000,A,1,2025-06-02,Scraping Filling AC WC
motorway,,,B,1,2025-06-30,Scraping Filling AC WC
motorway,1+000,1+200,A,1,2025-06-03,Scraping Filling AC WC
motorway,,,B,1,2025-06-23,Scraping Filling AC WC
motorway,1+200,1+400,A,1,2025-06-03,Scraping Filling AC WC
motorway,,,B,1,2026,Scrapping Filling
motorway,1+400,1+600,B,1,2026,Scrapping Filling
motorway,1+600,1+800,A,1,2025-05-16,Scrapping Filling AC WC
motorway,,,B,2,2025-09-25,Scraping Filling AC WC
motorway,1+800,2+000,A,1,2025-05-17,Scrapping Filling AC WC
motorway,,,B,2,2025-07-02,Scraping Filling AC WC
motorway,2+000,2+200,A,1,2025-05-19,Scrapping Filling AC WC
motorway,,,B,2,2025-07-02,Scraping Filling AC WC
motorway,2+200,2+400,A,1,2025-05-19,Scrapping Filling AC WC
motorway,,,B,2,2025-06-28,Scraping Filling AC WC
motorway,2+400,2+600,B,2,2025-06-25,Scraping Filling AC WC
motorway,2+600,2+800,B,1,2023,Scraping Filling AC WC
motorway,2+800,3+000,A,1,2025-05-20,Scrapping Filling AC WC
motorway,,,B,1,2026,Scrapping Filling
motorway,,,B,2,2026,Scrapping Filling
motorway,3+000,3+200,A,1,2025-05-20,Scrapping Filling AC WC
motorway,,,B,1,2026,Scrapping Filling
motorway,,,B,2,2026,Scrapping Filling
motorway,3+200,3+400,A,2,2026,Scrapping Filling
motorway,,,B,2,2026,Scrapping Filling
motorway,3+400,3+600,A,1,2026,Scrapping Filling
motorway,,,A,2,2026,Scrapping Filling
motorway,,,B,1,2024-06-25,Scraping Filling AC WC
motorway,3+600,3+800,A,1,2026,Scrapping Filling
motorway,,,B,1,2023,Scraping Filling AC WC
motorway,3+800,4+000,A,1,2026,Scrapping Filling
motorway,,,B,1,2024-06-20,Scraping Filling AC WC
motorway,,,AKSES OFF RAMP PSR TURI/B,0,2024-06-11,Scraping Filling AC BC
motorway,,,AKSES OFF RAMP PSR TURI/B,1,2024-06-11,Scraping Filling AC WC
motorway,,,OFF RAMP PSR TURI /B,KANAN,2024-06-12,Scraping Filling AC WC
motorway,4+000,4+200,A,1,2026,Scrapping Filling
motorway,,,B,2,2024-06-21,Scraping Filling AC WC
